Item,Quantity,Price
dish3,5,55
dish5,5,90
dish1,12,85
dish1,3,90
dish10,8,90
dish7,3,40
dish7,12,40
dish4,7,60
dish2,12,65
dish8,10,50
dish5,12,90
dish9,12,65
dish3,10,40
dish3,10,90
dish7,8,90
dish1,8,65
dish6,9,60
dish5,4,80
dish4,3,80
dish10,2,45
dish6,2,85
dish4,2,30
dish3,12,90
dish8,2,65
dish10,4,80
dish9,9,85
dish3,3,65
dish4,7,65
dish8,5,45
dish7,5,60
dish3,10,65
dish9,9,40
dish10,7,90
dish3,4,60
dish8,7,30
dish10,9,60
dish7,12,85
dish2,3,80
dish9,9,50
dish7,3,60
dish4,9,85
dish9,1,85
dish2,2,45
dish5,8,40
dish10,8,60
dish8,8,65
dish5,3,30
dish8,7,30
dish4,3,60
dish6,9,50
dish5,3,45
dish8,1,85
dish7,3,55
dish4,8,90
dish6,12,65
dish5,8,50
dish9,1,45
dish2,4,60
dish2,10,65
dish4,4,80
dish5,10,45
dish5,9,40
dish5,9,85
dish4,2,80
dish9,4,45
dish4,12,40
dish9,4,60
dish6,7,60
dish3,7,80
dish6,5,80
dish3,4,55
dish7,1,45
dish6,8,90
dish8,4,40
dish1,2,50
dish6,8,55
dish4,8,55
dish10,12,85
dish7,10,45
dish10,9,60
dish1,9,45
dish4,5,40
dish2,1,45
dish4,12,60
dish8,3,65
dish10,3,60
dish10,2,60
dish7,9,65
dish6,1,30
dish5,4,30
dish5,7,60
dish2,8,85
dish3,4,55
dish4,1,90
dish2,10,90
dish5,1,80
dish1,3,65
dish8,12,60
dish8,9,65
dish3,1,60
